subject,predicate,object,chunk_id
živnostenský zákon,upravuje,osoby vykonávající odborné práce při šlechtitelské a plemenářské činnosti v chovu hospodářských zvířat,25c5c80343894aff81b77d33a9019420
živnostenský zákon,upravuje,advokáti,25c5c80343894aff81b77d33a9019420
živnostenský zákon,upravuje,notáři,25c5c80343894aff81b77d33a9019420
živnostenský zákon,upravuje,patentoví zástupci,25c5c80343894aff81b77d33a9019420
živnostenský zákon,upravuje,soudní exekutoři,25c5c80343894aff81b77d33a9019420
živnostenský zákon,upravuje,činnost osob zabývajících se obhospodařováním nebo administrací investičního fondu,db4756394175496aae0d0e2087e3b6fa
živnostenský zákon,upravuje,činnost osob provádějících vypořádání obchodů s cennými papíry,db4756394175496aae0d0e2087e3b6fa
živnostenský zákon,upravuje,činnost osob provádějících přijímání a předávání pokynů nebo investičního poradenství,db4756394175496aae0d0e2087e3b6fa
živnostenský zákon,upravuje,činnost ratingových agentur,db4756394175496aae0d0e2087e3b6fa
živnostenský zákon,stanoví,povinnost doložit doklad,d3a33a9814254f959556fa0cea657386
fyzická osoba,může,provozovat živnost,d3a33a9814254f959556fa0cea657386
rodinní příslušníci,mohou,provozovat živnost,d3a33a9814254f959556fa0cea657386
všeobecné podmínky provozování živnosti,jsou,plná svéprávnost,d3a33a9814254f959556fa0cea657386
všeobecné podmínky provozování živnosti,jsou,bezúhonnost,d3a33a9814254f959556fa0cea657386
živnostenský zákon,vyžaduje,státní povolení k provozování živnosti,c8fd70eaeda84a9f81b7f5f23c8630d1
živnostenský zákon,považuje se,fyzická osoba s bydlištěm na území české republiky,c8fd70eaeda84a9f81b7f5f23c8630d1
živnostenský zákon,považuje se,právnická osoba se sídlem na území české republiky,c8fd70eaeda84a9f81b7f5f23c8630d1
fyzická osoba,může provozovat,živnost,c8fd70eaeda84a9f81b7f5f23c8630d1
živnostenský zákon,upravuje,prodej nezpracovaných rostlinných a živočišných výrobků z vlastní drobné pěstitelské a chovatelské činnosti fyzickými osobami,3beeff345bf2450eb11df93e9ab1c2fc
živnostenský zákon,upravuje,námořní doprava a mořský rybolov,3beeff345bf2450eb11df93e9ab1c2fc
živnostenský zákon,upravuje,provozování dráhy a drážní dopravy,3beeff345bf2450eb11df93e9ab1c2fc
živnostenský zákon,upravuje,vykonávání komunikační činnosti podle zvláštního právního předpisu,3beeff345bf2450eb11df93e9ab1c2fc
živnostenský zákon,stanoví,zvláštními podmínkami provozování živnosti jsou odborná nebo jiná způsobilost,c7318546818749fa983e11b13025c8d6
živnostenský zákon,nepožaduje,prokázání praxe u podnikatele,c7318546818749fa983e11b13025c8d6
živnostenský zákon,nepožaduje,"prokázání praxe u osoby, která vykonává funkci odpovědného zástupce pro dotčenou živnost",c7318546818749fa983e11b13025c8d6
odbornou způsobilost,lze prokázat,dokladem vyd,c7318546818749fa983e11b13025c8d6
živnostenský zákon,upravuje,fyzická osoba s bydlištěm nebo právnická osoba se sídlem na území české republiky,9bece4279657408f8a04372aa1592640
bydlištěm na území české republiky,rozumí se,místo trvalého pobytu na jejím území,9bece4279657408f8a04372aa1592640
doklad potvrzující určité skutečnosti,rozumí se,předložení dokladu včetně jeho překladu do českého jazyka provedeného tlumočníkem zapsaným do seznamu znalců a tlumočníků,9bece4279657408f8a04372aa1592640
živnostenský zákon,prokazuje,bezúhonnost,b8c7ef851a74401ebdb1e0a73551d790
živnostenský zákon,prokazuje,doklady podle § 46 odst. 1 písm. b),b8c7ef851a74401ebdb1e0a73551d790
živnostenský úřad,je oprávněn,vyžádat výpis z evidence rejstříku trestů,b8c7ef851a74401ebdb1e0a73551d790
žádost o vydání výpisu z evidence rejstříku trestů,se předávají,v elektronické podobě,b8c7ef851a74401ebdb1e0a73551d790
živnostenský zákon,považuje se,samostatně výdělečně činná osoba,4b3b4096e2874911a51ed0b8dc67f9dc
živnostenský zákon,považuje se,ve vedoucím postavení,4b3b4096e2874911a51ed0b8dc67f9dc
živnostenský zákon,stanoví,doklad o dosažené kvalifikaci,4b3b4096e2874911a51ed0b8dc67f9dc
živnostenský zákon,považuje se,příslušným orgánem,4b3b4096e2874911a51ed0b8dc67f9dc
živnostenský zákon,považuje se,instituc,4b3b4096e2874911a51ed0b8dc67f9dc
dobou praxe,se rozumí,doba výkonu odborných činností konaných v pracovním poměru po stanovenou týdenní pracovní dobu,0706e16c60f84a269ddebdbaaeaf9d93
dobou praxe,se rozumí,souměřitelná doba výkonu těchto činností konaných v pracovním poměru po kratší pracovní dobu,0706e16c60f84a269ddebdbaaeaf9d93
dobou praxe,se rozumí,souměřitelná doba výkonu odborných činností osobou samostatně výdělečně činnou,0706e16c60f84a269ddebdbaaeaf9d93
živnostenský zákon,upravuje,provozování letišť,895b7202c5d448fca153c572884c2276
živnostenský zákon,upravuje,provozování obchodní letecké dopravy,895b7202c5d448fca153c572884c2276
živnostenský zákon,upravuje,leteckých prací,895b7202c5d448fca153c572884c2276
živnostenský zákon,upravuje,poskytování leteckých služeb,895b7202c5d448fca153c572884c2276
živnostenský zákon,upravuje,činnost výkonných letců,895b7202c5d448fca153c572884c2276
živnostenský zákon,upravuje,uskutečňování odborné pří,895b7202c5d448fca153c572884c2276
živnostenský zákon,stanoví,vykonával předmětnou činnost nejméně 5 let v pracovněprávním vztahu,cea8618ab8fd4a4baababbfb77225ae1
živnostenský zákon,stanoví,výkon činnosti nesmí být ukončen více než 10 let před ohlášením živnosti,cea8618ab8fd4a4baababbfb77225ae1
živnostenský zákon,stanoví,držitelem dokladu o dosažené kvalifikaci vydaného nebo uznaného příslušným orgánem nebo institucí členského státu,cea8618ab8fd4a4baababbfb77225ae1
živnostenský zákon,stanoví,po dobu 2 po sobě jdoucích let jako samostatně výdělečně činná osoba,3ad250852ce54d689613f31684f858dc
živnostenský zákon,stanoví,ve vedoucím postavení,3ad250852ce54d689613f31684f858dc
živnostenský zákon,prokáže-li,že vykonával předmětnou činnost nejméně 3 roky v pracovněprávním vztahu,3ad250852ce54d689613f31684f858dc
živnostenský zákon,stanoví,že výkon činnosti nesmí být ukončen více než 10 let před ohlá,3ad250852ce54d689613f31684f858dc
živnost,nemůže provozovat,fyzická nebo právnická osoba,5db36366108e4df7a81e1aa345ba77e1
živnost,nemůže provozovat,fyzická nebo právnická osoba,5db36366108e4df7a81e1aa345ba77e1
živnost,nemůže provozovat,fyzická nebo právnická osoba,5db36366108e4df7a81e1aa345ba77e1
překážka provozování živnosti,odpadá,právní mocí rozhodnutí o zrušení konkursu,5db36366108e4df7a81e1aa345ba77e1
živnostenský úřad,může prominout,překážku uveden,5db36366108e4df7a81e1aa345ba77e1
živnostenský zákon,stanoví,osoba nemůže provozovat činnost v rámci živnosti volné,25e9431fbe9241569fb2fe3f535e9223
živnostenský zákon,stanoví,provozování ostatních činností v rámci živnosti volné zůstává nedotčeno,25e9431fbe9241569fb2fe3f535e9223
neexistence překážky provozování živnosti u právnické osoby,prokazuje se,výpisem z evidence rejstříku trestů,25e9431fbe9241569fb2fe3f535e9223
neexistence překážky provozování živnosti u zahraničních právnických osob,prokazuje se,doklady podle,25e9431fbe9241569fb2fe3f535e9223
živnostenský úřad,může prominout,překážku uvedenou ve větě první,ed2ff4e0db104941b1c69b85f96c99aa
živnostenský úřad,může prominout,překážku uvedenou ve větě druhé,ed2ff4e0db104941b1c69b85f96c99aa
soud,nařídil,předběžné opatření,ed2ff4e0db104941b1c69b85f96c99aa
fyzická nebo právnická osoba,může učinit,úkony související se vznikem živnostenského oprávnění,ed2ff4e0db104941b1c69b85f96c99aa
živnostenský zákon,stanoví,"právnická osoba, členem jejíhož statutárního orgánu je fyzická nebo právnická osoba, které bylo zrušeno živnostenské oprávnění podle § 58 odst. 2 nebo 3",ae4c2b2c70f2412ca8b1321a53aed9f1
živnostenský zákon,stanoví,"právnická osoba, členem jejíhož statutárního orgánu je fyzická nebo právnická osoba, která byla členem statutárního orgánu právnické osoby v době, kdy nastaly nebo trvaly skutečnosti, které vedly ke zrušení živnostenského oprávnění podle § 58 odst. 2 nebo 3 této právnické osobě",ae4c2b2c70f2412ca8b1321a53aed9f1
živnostenský zákon,stanoví,dědicové ze zákona,5f791588db484dc2866fcb51be5ce820
živnostenský zákon,stanoví,dědicové ze závěti,5f791588db484dc2866fcb51be5ce820
živnostenský zákon,stanoví,pozůstalý manžel nebo partner,5f791588db484dc2866fcb51be5ce820
živnostenský zákon,stanoví,insolvenční správce,5f791588db484dc2866fcb51be5ce820
živnostenský zákon,stanoví,likvidační správce,5f791588db484dc2866fcb51be5ce820
živnostenský zákon,stanoví,odpovědného zástupce,58fb8cc6e424454982e4717140fe446f
podnikatel,ustanoví,odpovědného zástupce,58fb8cc6e424454982e4717140fe446f
podnikatel,ustanoví,odpovědného zástupce,58fb8cc6e424454982e4717140fe446f
česká právnická osoba,ustanoví,odpovědného zástupce,58fb8cc6e424454982e4717140fe446f
zahraniční právnická osoba,ustanoví,odpovědného zástupce,58fb8cc6e424454982e4717140fe446f
živnostenský úřad,potvrdí,splnění podmínek pro provozování živnosti,3f326c5dea3f4d42afeff8d4a1ff5b1e
živnostenský úřad,vydáním,výpisu zahraničním fyzickým osobám,3f326c5dea3f4d42afeff8d4a1ff5b1e
osobám,vzniká,živnostenské oprávnění,3f326c5dea3f4d42afeff8d4a1ff5b1e
živnostenský úřad,rozhodne,že ohlašovatel podmínky pro vznik živnostenského oprávnění nesplnil,3f326c5dea3f4d42afeff8d4a1ff5b1e
živnostenský úřad,poznamená,skutečnost,13f3111b25624030b291b2692a7364d0
živnostenský úřad,zapíše,do živnostenského rejstříku,13f3111b25624030b291b2692a7364d0
živnostenský úřad,přidělí,identifikační číslo osoby,13f3111b25624030b291b2692a7364d0
živnostenské oprávnění,nemůže být přeneseno,na jinou osobu,13f3111b25624030b291b2692a7364d0
jiná osoba,může vykonávat,živnost,13f3111b25624030b291b2692a7364d0
živnostenský zákon,získat,úplný výpis platných údajů,c00f7681d83d40d59f33a7d949d51233
živnostenský zákon,získat,"údaje, které byly vymazány bez náhrady",c00f7681d83d40d59f33a7d949d51233
živnostenský zákon,získat,údaje s nahrazením novými údaji,c00f7681d83d40d59f33a7d949d51233
živnosti,jsou,ohlašovací,c00f7681d83d40d59f33a7d949d51233
živnosti,jsou,koncesované,c00f7681d83d40d59f33a7d949d51233
odpovědný zástupce,končí,výkon funkce dnem doručení oznámení odpovědného zástupce živnostenskému úřadu,70571d96d37a42eaba32b3c3fb3c9842
odpovědný zástupce,končí,výkon jeho funkce tímto dnem,70571d96d37a42eaba32b3c3fb3c9842
odpovědný zástupce pro živnost ohlašovací,může vykonávat,svoji funkci ode dne ustanovení,70571d96d37a42eaba32b3c3fb3c9842
podnikatel,předloží,ustanovení odpovědného zástupce pro živnost koncesovan,70571d96d37a42eaba32b3c3fb3c9842
živnostenský zákon,ustanoví,nového odpovědného zástupce,bfdf80946b94494a859c94c6855bee47
podnikatel,může ustanovit,odpovědného zástupce,bfdf80946b94494a859c94c6855bee47
ustanovení,se vztahuje,§ 11,bfdf80946b94494a859c94c6855bee47
podnikatel,může provozovat,živnost bez odpovědného zástupce,bfdf80946b94494a859c94c6855bee47
živnostenský úřad,zapíše,ukončení výkonu funkce odpovědného zástupce,bfdf80946b94494a859c94c6855bee47
nástupnická obchodní společnost nebo družstvo,může pokračovat,v provozování živnosti,585ec8520bc8425889d4281bd5aba5bc
nástupnická obchodní společnost nebo družstvo,může pokračovat,na základě živnostenského oprávnění zaniklé nebo rozdělované obchodní společnosti nebo družstva,585ec8520bc8425889d4281bd5aba5bc
nástupnická obchodní společnost nebo družstvo,musí oznámit,pokračování v živnosti živnostenskému úřadu,585ec8520bc8425889d4281bd5aba5bc
nástupnická obchodní společnost nebo družstvo,musí ohlásit,oh,585ec8520bc8425889d4281bd5aba5bc
živnostenský zákon,vyžaduje,ustanovit odpovědného zástupce,dd4e23c810854d59a72ccd946fb9b497
osoba uvedená v odstavci 2 větě první,oznámí,tuto skutečnost živnostenskému úřadu,dd4e23c810854d59a72ccd946fb9b497
oprávnění pokračovat v provozování živnosti,zanikne,dnem doručení oznámení živnostenskému úřadu,dd4e23c810854d59a72ccd946fb9b497
živnostenské oprávnění zemřelého podnikatele,zanikne,tímto dnem,dd4e23c810854d59a72ccd946fb9b497
podnikatel,uvede,obchodní firmu nebo název nebo jméno a příjmení,5b083d6d4e964a0494426f571a6082ac
podnikatel,uvede,identifikační číslo osoby,5b083d6d4e964a0494426f571a6082ac
podnikatel,uvede,"adresu provozovny, popřípadě její umístění a předmět podnikání v této provozovně",5b083d6d4e964a0494426f571a6082ac
podnikatel,uvede,datum zahájení (ukončení) provozování živnosti v provozovně,5b083d6d4e964a0494426f571a6082ac
živnostenský zákon,definuje,mobilní provozovna,4a3295d1e129415997d2fb338d4d9307
mobilní provozovna,je,"provozovna, která je přemístitelná",4a3295d1e129415997d2fb338d4d9307
mobilní provozovna,není umístěna,na jednom místě po dobu delší než tři měsíce,4a3295d1e129415997d2fb338d4d9307
živnost,může být provozována,ve více provozovnách,4a3295d1e129415997d2fb338d4d9307
podnikatel,má,právní důvod pro užívání provozoven,4a3295d1e129415997d2fb338d4d9307
obec,může rozdělit,tržiště podle druhu prodávaného zboží nebo poskytované služby,e5652d2283944e15b4a81ebbac5ab3c0
obec,může stanovit,že se tržní řád nevztahuje na některé formy prodeje zboží nebo poskytování služeb prováděných mimo provozovnu,e5652d2283944e15b4a81ebbac5ab3c0
obec,může stanovit,že některé formy prodeje zboží nebo poskytování služeb prováděné mimo provozovnu jsou v obci nebo v její části zakázány,e5652d2283944e15b4a81ebbac5ab3c0
živnostenský zákon,stanoví,živnosti vázané,202d14b7e13f4acfa0825a04b5650cd1
živnostenský zákon,upravuje,odborná způsobilost,202d14b7e13f4acfa0825a04b5650cd1
občan české republiky nebo jiného členského státu evropské unie,může prokázat,odbornou způsobilost,202d14b7e13f4acfa0825a04b5650cd1
živnost volná,je,živnost opravňující k výkonu činností,202d14b7e13f4acfa0825a04b5650cd1
živnost volná,musí být splněny,,202d14b7e13f4acfa0825a04b5650cd1
podnikatel,je povinen,označit počátek a konec uzavření,12bc808eb0e349f4a4606a7547e7d112
